"Accession_Number","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AABF01000001.40748.42248","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum subsp. vincentii ATCC 49256"
"AAEW02000008.189409.190966","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","Desulfuromonas acetoxidans DSM 684"
"AAOT01000021.1.1840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Oceanicola granulosus HTCC2516"
"AATP01000006.40686.42147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Fulvimarina","Fulvimarina pelagi HTCC2506"
"AAVP02000002.246738.248249","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae Sedis","Ruminococcus torques ATCC 27756"
"AAWL01000009.57399.58874","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000016.11005.12605","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000022.1529.3082","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWL01000046.101.1641","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Thermosinus","Thermosinus carboxydivorans Nor1"
"AAWS01000012.387.1834","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Microscilla","Microscilla marina ATCC 23134"
"AAXA02000006.102304.103822","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000007.1.1294","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000014.354465.355983","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AAXA02000015.452491.454009","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea formicigenerans ATCC 27755"
"AB000480.1.1326","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Insolitispirillum","Insolitispirillum peregrinum"
"AB002480.1.1312","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae"
"AB002515.1.1332","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equi"
"AB002519.1.1491","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus alactolyticus"
"AB002524.1.1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis"
"AB002583.17714.19138","Bacteria","Cyanobacteria","Chloroplast","Cyanidioschyzon merolae","","",""
"AB003379.1.1455","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas","Selenomonas ruminantium"
"AB003932.1.1476","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia succinea"
"AB004713.1.1533","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium thalassium"
"AB004717.1.1520","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium keratanolyticum"
"AB004719.1.1407","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium saperdae"
"AB004723.1.1464","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium schleiferi"
"AB004727.1.1503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium hominis"
"AB004745.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia ficaria"
"AB004749.1.1449","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Lelliottia amnigena"
"AB004754.1.1441","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","Klebsiella oxytoca"
"AB004876.1.1472","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halococcus","Halococcus saccharolyticus"
"AB005656.1.1474","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronorubrum","Natronorubrum tibetense"
"AB006159.1.1414","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces yanii"
"AB006170.1.1487","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Thermobifida","Microbispora mesophila"
"AB006178.1.1468","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinoalloteichus","Actinoalloteichus cyanogriseus"
"AB006761.1.1461","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum beijerinckii subsp. pelagicum"
"AB006765.1.1463","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinobacterium","Marinobacterium jannaschii"
"AB006769.1.1456","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinospirillum","Marinospirillum minutulum"
"AB006899.1.1452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus carotinifaciens"
"AB007418.1.1440","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium aurum"
"AB007908.1.1516","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii"
"AB008206.1.1556","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus"
"AB008210.1.1552","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus"
"AB008215.1.1540","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis subsp. lactis"
"AB008391.1.1400","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas leidyi"
